LFQ.intensity.H1	LFQ.intensity.H2	LFQ.intensity.H3	LFQ.intensity.L1	LFQ.intensity.L2	LFQ.intensity.L3	Only.identified.by.site	Reverse	Potential.contaminant	Peptides	Razor...unique.peptides	Unique.peptides	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	PEP	Intensity	H_vs_L_logFC	H_vs_L_AveExpr	H_vs_L_t	H_vs_L_P.Value	H_vs_L_adj.P.Val	H_vs_L_B	H_vs_L_-log(P.Value)	H_vs_L_-log(adj.P.Val)	Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	id	H_vs_L_Valid	H_vs_L_Significant
#!{Type}E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T
#!{C:Group1}H	H	H	L	L	L																											
27.3134574890137	27.3965625762939	27.0682525634766	27.5967617034912	27.868501663208	27.9516048431396				13	13	13	31.5	31.5	31.5	64.098	3.6209E-69	1059700000	0.547902938569703	27.5324447494451	3.90982820201111	0.00380565459267053	0.00808142290259917	-2.26562734729469	2.41957063152575	2.0925121659158	A0AV96;B7Z8Z7;A0AV96-2;D6R9D6;D6RBS9;D6REZ6;D6RA49;D6RFL5;D6R9M7;D6RBP6;D6RCT1;Q5T0W7;B3KWU8;B4DZ27;Q9NQ94-5;Q8TBY0;Q9NQ94-6;Q9NQ94-3;C9JGD3;Q9NQ94-2;F8W9F8;Q9NQ94-4;Q9NQ94	A0AV96;B7Z8Z7;A0AV96-2;D6R9D6	RNA-binding protein 47	RBM47	0	+	
25.0475597381592	25.4638233184814	24.5609245300293	26.1093673706055	26.1012935638428	25.798526763916				14	14	14	17.9	17.9	17.9	117.97	2.6622E-66	275390000	0.980815667832086	25.5132519223279	4.3709413621836	0.00194480068195692	0.0047344114870643	-1.56227765594194	2.71112490187653	2.32473399845698	A0AVT1;A0AVT1-2;H0Y8S8;A0AVT1-4;A0AVT1-3	A0AVT1;A0AVT1-2	Ubiquitin-like modifier-activating enzyme 6	UBA6	1	+	
25.7489356994629	25.7198104858398	25.8093128204346	26.3575992584229	26.5974731445313	26.4524459838867				11	11	11	15.4	15.4	15.4	98.008	1.9223E-36	367760000	0.711059843946973	26.1142981083016	4.89486044964353	0.000941578345403226	0.00270084314865662	-0.79840737767786	3.02614353803636	2.56850063671255	H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;C9JGI7;A0FGR8-4;F2Z3K9;A0FGR8-5;A6NFV7	H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;C9JGI7;A0FGR8-4	Extended synaptotagmin-2	ESYT2	2	+	
22.321741104126	23.7216110229492	23.0995044708252	21.2096729278564	23.7620258331299	22.6047859191895				4	4	4	23.8	23.8	23.8	26.273	9.3299E-22	71946000	-0.521297472058979	22.7862059908791	-0.819597739661394	0.436186164754087	0.483896548454839	-6.77111999450096	0.360328113783102	0.315247475623064	A0JLT2;A0JLT2-2	A0JLT2;A0JLT2-2	Mediator of RNA polymerase II transcription subunit 19	MED19	3	+	
23.9379558563232	23.7859630584717	23.4582633972168	24.2172660827637	24.9532260894775	24.2072467803955				7	7	7	12	12	12	63.496	9.9022E-23	86967000	0.73310219048517	24.0930511710871	2.779911012599	0.0220864892113758	0.0351834464602114	-4.07545052886413	1.65587331252612	1.45366162066765	A0MZ66-4;A0MZ66;A0MZ66-3;B7Z7Z9;A0MZ66-5;A0MZ66-6;A0MZ66-2;A0MZ66-7	A0MZ66-4;A0MZ66;A0MZ66-3;B7Z7Z9;A0MZ66-5;A0MZ66-6;A0MZ66-2	Shootin-1	KIAA1598	5	+	
25.7687301635742	25.1020545959473	24.343334197998	24.7096195220947	25.0495548248291	24.6898708343506				7	7	7	13.8	13.8	13.8	76.806	3.7413E-37	288600000	-0.253110654787498	24.9434304564937	-0.792613053517745	0.449071744552612	0.496438338298527	-6.79562801327079	0.347684269744512	0.3041346867451	A1A528;O43264;F5H3C1	A1A528;O43264	Centromere/kinetochore protein zw10 homolog	ZW10	6	+	
27.6466388702393	27.8039665222168	27.7661666870117	27.9158153533936	27.9875564575195	27.816349029541				13	13	13	33.4	33.4	33.4	67.867	4.0208E-76	1515900000	0.169037293512314	27.822748111924	1.46583913621123	0.177871157406983	0.216383439256263	-6.06858714425771	0.749894468973544	0.664775980695046	A1L0T0;E9PJS0;C9JNI8;E9PL44;E9PNL1	A1L0T0;E9PJS0	Acetolactate synthase-like protein	ILVBL	7	+	
21.1224460601807	21.314733505249	20.9903011322021	22.5738544464111	21.4550800323486	21.4407577514648				3	3	3	5.1	5.1	5.1	94.055	1.4114E-08	14039000	0.682130593505804	21.482809773543	1.70437770987099	0.123660479013912	0.15645957298336	-5.74440271875951	0.907769075541366	0.805597859384789	A1L491;Q86XK2;Q86XK2-5;Q86XK2-2;H0YAV3;Q86XK2-3;B3KUR1	A1L491;Q86XK2;Q86XK2-5;Q86XK2-2;H0YAV3;Q86XK2-3	F-box only protein 11	FBXO11	8	+	
26.2290172576904	26.6504783630371	26.9776020050049	27.3090400695801	27.2600631713867	27.1474418640137				18	18	18	29.5	29.5	29.5	85.424	8.4409E-69	770060000	0.620834172996162	26.9291337076669	3.05576210470566	0.0142071753889672	0.0242344619311021	-3.62761417440343	1.847492258098	1.61556661831578	Q99798;A2A274;F5H2A5;B4DW08;B4DEC3	Q99798;A2A274;F5H2A5;B4DW08;B4DEC3	Aconitate hydratase, mitochondrial	ACO2	10	+	
20.7899475097656	20.3212451934814	21.7031593322754	23.0277118682861	22.5863933563232	22.4058227539063				3	3	3	3.8	3.8	3.8	141.86	1.331E-12	31591000	1.73529518554318	21.8062346124679	4.0305351932471	0.0031830208095022	0.00697035194848298	-2.07889135093125	2.49716052210082	2.15674529285964	Q86X10-2;A2A2F0;Q86X10-3;A2A2E9;Q86X10;B4E2E8;Q86X10-4	Q86X10-2;A2A2F0;Q86X10-3;A2A2E9;Q86X10;B4E2E8;Q86X10-4	Ral GTPase-activating protein subunit beta	RP5-1100H13.1;RALGAPB	11	+	+
23.3404159545898	23.5160503387451	23.4146747589111	24.4428462982178	24.0625	24.2565231323242				6	6	6	17.9	17.9	17.9	45.917	2.8192E-23	65113000	0.831625056760792	23.8388938582415	3.69687235647291	0.00524121132534975	0.010530728745864	-2.59918455583446	2.28056832921497	1.97754157379492	A2A2V2;P42696;P42696-2;Q5TCT4;H7C5M1	A2A2V2;P42696;P42696-2;Q5TCT4	RNA-binding protein 34	RBM34	14	+	
23.9196166992188	24.1067733764648	20.4479713439941	25.0422248840332	25.1417617797852	24.6517925262451				4	4	4	10.9	10.9	10.9	69.984	2.7161E-11	94189000	2.12442070720642	23.8835439272487	2.26147514338814	0.061492192811716	0.08492428275549	-4.97592990097836	1.21118001973714	1.07096811236077	P35611-2;E7EV99;Q86XM2;A2A3N8;E7ENY0;P35611;P35611-3;H0Y9H2;Q96D30;D6RJE2;H0YG19;D6RAH3;D6RF25	P35611-2;E7EV99;Q86XM2;A2A3N8;E7ENY0;P35611;P35611-3;H0Y9H2;Q96D30	Alpha-adducin	ADD1	17	+	
23.9141521453857	23.7869606018066	23.9672813415527	24.9093971252441	24.1083698272705	24.2982406616211				7	7	7	12.3	12.3	12.3	83.247	2.5019E-23	113190000	0.550466032597466	24.1642105639446	2.10275422479546	0.0658717024666757	0.0901728799857789	-5.1539346173618	1.18130111198997	1.04492405939275	A2RRF3;Q9UBC2;Q9UBC2-2	A2RRF3;Q9UBC2;Q9UBC2-2	Epidermal growth factor receptor substrate 15-like 1	EPS15L1	19	+	
23.4648818969727	23.4964351654053	23.7215061187744	23.8786735534668	24.0728378295898	23.7084102630615				11	11	11	6.3	6.3	6.3	254.81	1.0473E-26	134590000	0.326614037341972	23.7238404941312	1.4057485028693	0.194484412952336	0.234694724736281	-6.1457494931339	0.711115199685572	0.629496671985009	A2RRP1-2;A2RRP1;H0Y5G7;H7C1U4	A2RRP1-2;A2RRP1;H0Y5G7	Neuroblastoma-amplified sequence	NBAS	20	+	
22.4306869506836	23.4010639190674	22.7648830413818	22.8693828582764	23.5953693389893	22.8487129211426				3	3	3	13.3	13.3	13.3	39.513	5.7149E-12	109990000	0.240130073406842	22.9847426699275	0.698278036135898	0.503234483691362	0.54907466188547	-6.8688174743344	0.298229606903505	0.260368597188863	A3KFJ0;O14965;Q5QPD4;A3KFJ2;Q5QPD1;Q5QPD2;A3KFJ1	A3KFJ0;O14965;Q5QPD4	Aurora kinase A	AURKA	21	+	
23.9565086364746	24.1522083282471	23.6063690185547	25.4902648925781	24.6888046264648	24.7080936431885				9	9	9	9.9	9.9	9.9	116.94	3.0016E-26	211650000	1.05907998441858	24.4335739633839	3.89301730443358	0.003902160369105	0.00826295250572988	-2.29177253233202	2.40869488614955	2.082864743499	A3KMH1-2;E2QRD0;A3KMH1-3;A3KMH1;A8MYW7	A3KMH1-2;E2QRD0;A3KMH1-3;A3KMH1	Uncharacterized protein KIAA0564	KIAA0564	22	+	+
