LFQ.intensity.H1	LFQ.intensity.H2	LFQ.intensity.H3	LFQ.intensity.L1	LFQ.intensity.L2	LFQ.intensity.L3	Only.identified.by.site	Reverse	Potential.contaminant	Peptides	Razor...unique.peptides	Unique.peptides	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	PEP	Intensity	H_vs_L_logFC	H_vs_L_AveExpr	H_vs_L_t	H_vs_L_P.Value	H_vs_L_adj.P.Val	H_vs_L_B	H_vs_L_-log(P.Value)	H_vs_L_-log(adj.P.Val)	Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	id	H_vs_L_Valid	H_vs_L_Significant
29.42011642	29.81219673	29.44253731	31.25229645	31.33507347	31.13783836				4	3	3	89.5	74.6	74.6	11.514	5.26E-70	5071600000	1.683452606	30.40000979	14.10420231	3.72E-07	3.08E-05	7.330601447	6.429305093	4.511575716	P05386	P05386	60S acidic ribosomal protein P1	RPLP1	2117	+	+
27.41695213	27.35994339	27.34604263	29.17547989	28.84122276	28.97665405				4	4	4	42.6	42.6	42.6	13.015	7.41E-34	1269300000	1.62347285	28.18604914	13.81466267	4.40E-07	3.08E-05	7.163281972	6.356212964	4.511575716	P62854;Q5JNZ5;F8VZW7	P62854;Q5JNZ5;F8VZW7	40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1	RPS26;RPS26P11	4337	+	+
30.39641953	30.71568489	30.61033249	32.12839127	32.05252075	32.36800766				10	10	3	57.1	57.1	22.1	27.872	4.02E-60	9652900000	1.608827591	31.37855943	14.28784679	3.35E-07	3.08E-05	7.434731449	6.474947742	4.511575716	Q01081;Q01081-4;Q8WU68-3;Q8WU68-2;Q8WU68	Q01081;Q01081-4	Splicing factor U2AF 35 kDa subunit	U2AF1	4714	+	+
28.92651176	29.09381294	29.14855957	30.41407585	30.29055977	30.29055977				24	4	4	62.1	12.5	12.5	48.328	1.98E-180	2026600000	1.275437037	29.69401328	13.60872909	4.97E-07	3.08E-05	7.041871087	6.303360084	4.511575716	A8MUB1;P68366;C9JEV8;C9JQ00;C9JJQ8;C9JDL2	A8MUB1;P68366	Tubulin alpha-4A chain	TUBA4A	110	+	+
31.69411278	31.82242203	31.79722786	32.98377991	33.09896469	33.02999115				25	25	25	67.8	67.8	67.8	38.604	1.39E-183	19250000000	1.266324361	32.4044164	18.30684563	4.40E-08	3.08E-05	9.383927468	7.35656565	4.511575716	P07355;P07355-2;H0YN42;H0YMD0;H0YMU9;H0YM50;A6NMY6;H0YKS4;B3KRQ1;H0YNP5;H0YN28;H0YL33;H0YMM1;H0YKZ7;H0YLV6;H0YMT9;H0YKX9;H0YKL9;H0YMW4;H0YNA0;H0YKV8;H0YMD9;H0YNB8;H0YN52;H0YKN4;H0YLE2	P07355;P07355-2;H0YN42;H0YMD0;H0YMU9;H0YM50;A6NMY6;H0YKS4;B3KRQ1	Annexin A2;Annexin;Putative annexin A2-like protein	ANXA2;ANXA2P2	2190	+	+
31.66386604	31.51433945	31.57171631	32.79719162	32.89141846	32.76380539				28	28	28	50.7	50.7	50.7	72.4	9.37E-215	15543000000	1.234164556	32.20038954	17.05013752	7.90E-08	3.08E-05	8.835295545	7.102390466	4.511575716	B7Z4V2;P38646;F5H3L8;D6RJI2;D6RA73;H0Y8S0;H0YBG6	B7Z4V2;P38646;F5H3L8	Stress-70 protein, mitochondrial	HSPA9	469	+	+
29.75522804	29.92154503	29.66575432	31.06246376	30.91832733	31.06246376				14	14	14	60.1	60.1	60.1	35.554	3.17E-64	4550500000	1.233575821	30.39763037	13.15748459	6.53E-07	3.08E-05	6.768571266	6.184925141	4.511575716	P27695;G3V3M6;G3V5Q1;G3V3C7;H7C4A8;G3V5M0;G3V359;G3V5D9;G3V574;G3V3Y6;G3V2D9	P27695;G3V3M6;G3V5Q1;G3V3C7	DNA-(apurinic or apyrimidinic site) lyase;DNA-(apurinic or apyrimidinic site) lyase, mitochondrial	APEX1	3551	+	+
30.07286835	30.16044998	30.14348793	31.26180267	31.35371208	31.37295151				13	13	13	76.8	76.8	76.8	26.922	2.01E-82	5774000000	1.203886668	30.72754542	16.05273246	1.30E-07	3.08E-05	8.362918115	6.887664143	4.511575716	O00299	O00299	Chloride intracellular channel protein 1	CLIC1	1648	+	+
31.1883049	31.15160561	31.14764404	32.50897598	32.30643845	32.18618774				19	19	19	68.8	68.8	68.8	55.18	3.96E-175	13842000000	1.171349208	31.74819279	12.91151908	7.61E-07	3.08E-05	6.615243281	6.118790475	4.511575716	Q9UMS4;F5GY56;F5H2I0;H0YGZ5;H0YGF3	Q9UMS4	Pre-mRNA-processing factor 19	PRPF19	6450	+	+
31.9526062	32.03229523	31.97018242	33.13375092	33.11624527	33.1534996				23	17	17	46.8	37.3	37.3	70.942	7.52E-153	17974000000	1.149470647	32.55976327	18.73785117	3.63E-08	3.08E-05	9.561164827	7.43991542	4.511575716	O43390;O43390-2;Q2L7G6;E7ETM7	O43390;O43390-2;Q2L7G6;E7ETM7	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	1762	+	+
